受注日,注文番号,商品コード,商品名,カテゴリ,数量,単価,小計,原価,在庫数
2026/07/01,ORD-10089,TS-002,プレミアムTシャツ ホワイト,Tシャツ,1,4800,4800,1900,120
2026/07/01,ORD-10116,TS-003,ロゴプリントTシャツ,Tシャツ,2,3200,6400,2500,100
2026/07/01,ORD-10132,PT-001,テーパードパンツ,パンツ,2,9800,19600,3900,12
2026/07/01,ORD-10154,OT-001,ウールジャケット,アウター,1,24000,24000,9000,0
2026/07/02,ORD-10012,TS-001,プレミアムTシャツ ブラック,Tシャツ,2,4800,9600,1900,30
2026/07/02,ORD-10031,TS-001,プレミアムTシャツ ブラック,Tシャツ,2,4800,9600,1900,30
2026/07/02,ORD-10071,TS-002,プレミアムTシャツ ホワイト,Tシャツ,2,4800,9600,1900,120
2026/07/02,ORD-10100,TS-003,ロゴプリントTシャツ,Tシャツ,3,3200,9600,2500,100
2026/07/02,ORD-10107,TS-003,ロゴプリントTシャツ,Tシャツ,2,3200,6400,2500,100
2026/07/03,ORD-10003,TS-001,プレミアムTシャツ ブラック,Tシャツ,1,4800,4800,1900,30
2026/07/03,ORD-10008,TS-001,プレミアムTシャツ ブラック,Tシャツ,1,4800,4800,1900,30
2026/07/03,ORD-10030,TS-001,プレミアムTシャツ ブラック,Tシャツ,3,4800,14400,1900,30
2026/07/03,ORD-10040,TS-001,プレミアムTシャツ ブラック,Tシャツ,1,4800,4800,1900,30
2026/07/03,ORD-10045,TS-001,プレミアムTシャツ ブラック,Tシャツ,2,4800,9600,1900,30
2026/07/03,ORD-10057,TS-002,プレミアムTシャツ ホワイト,Tシャツ,2,4800,9600,1900,120
2026/07/03,ORD-10060,TS-002,プレミアムTシャツ ホワイト,Tシャツ,3,4800,14400,1900,120
2026/07/03,ORD-10076,TS-002,プレミアムTシャツ ホワイト,Tシャツ,2,4800,9600,1900,120
2026/07/03,ORD-10086,TS-002,プレミアムTシャツ ホワイト,Tシャツ,1,4800,4800,1900,120
2026/07/03,ORD-10108,TS-003,ロゴプリントTシャツ,Tシャツ,1,3200,3200,2500,100
2026/07/03,ORD-10126,PT-001,テーパードパンツ,パンツ,1,9800,9800,3900,12
2026/07/03,ORD-10160,OT-001,ウールジャケット,アウター,1,24000,24000,9000,0
